1.GeneID	2.Base mean	3.log2(FC)	4.StdErr	5.Wald-Stats	6.P-value	7.P-adj
ENSG00000102317	1178.146604	-1.265057524	0.091440356	-13.8347834	1.57E-43	2.13E-39
ENSG00000128052	1186.510357	-1.318167653	0.10255869	-12.85281292	8.29E-38	5.62E-34
ENSG00000253507	304.1671445	-1.5899172	0.125709171	-12.64758321	1.15E-36	5.22E-33
ENSG00000170542	503.5395412	-1.341819512	0.12218265	-10.98207894	4.66E-28	1.58E-24
ENSG00000113739	1439.932469	0.929809797	0.087600443	10.61421343	2.56E-26	6.94E-23
ENSG00000248329	626.3042305	-1.135416125	0.121057815	-9.379122864	6.65E-21	1.50E-17
ENSG00000008311	4573.084367	-0.644138006	0.070052842	-9.195030315	3.75E-20	7.26E-17
ENSG00000067225	17686.15699	0.73058269	0.084707535	8.624766301	6.42E-18	1.09E-14
ENSG00000164176	620.1149392	-0.812582425	0.096419869	-8.427541298	3.53E-17	5.32E-14
ENSG00000145794	420.3111983	-0.989196559	0.120029075	-8.241307861	1.70E-16	2.31E-13
ENSG00000170017	693.019388	-0.769572318	0.094252981	-8.164965315	3.22E-16	3.96E-13
ENSG00000080824	26510.62046	0.464283412	0.057636668	8.055347877	7.93E-16	8.96E-13
ENSG00000141150	359.1362256	0.901032786	0.113822078	7.916151292	2.45E-15	2.56E-12
ENSG00000168918	403.9748801	0.954807246	0.121037157	7.88854654	3.06E-15	2.96E-12
ENSG00000115758	1630.732351	0.613630428	0.078087643	7.858227038	3.90E-15	3.52E-12
ENSG00000159399	2080.575489	0.758476	0.096824993	7.83347333	4.75E-15	4.02E-12
ENSG00000170525	687.91091	0.816406133	0.105296879	7.753374446	8.95E-15	7.14E-12
ENSG00000163735	341.450314	-1.035417235	0.136336306	-7.594581872	3.09E-14	2.09E-11
ENSG00000149257	6478.279842	0.536209193	0.070592202	7.595870009	3.06E-14	2.09E-11
ENSG00000149925	11384.01999	0.594415777	0.078176058	7.603552723	2.88E-14	2.09E-11
ENSG00000063015	90.14496744	-1.173924497	0.155436993	-7.55241386	4.27E-14	2.76E-11
ENSG00000131389	2623.107474	-0.542499758	0.072159738	-7.518039414	5.56E-14	3.43E-11
ENSG00000026025	955.1908694	-0.699096263	0.093456971	-7.480407879	7.41E-14	4.37E-11
ENSG00000105894	423.8722146	-0.843045669	0.113482695	-7.42884778	1.10E-13	6.19E-11
ENSG00000007062	1135.00053	-0.59399231	0.080984348	-7.334655691	2.22E-13	1.21E-10
ENSG00000106236	224.0228335	0.962305974	0.132414283	7.267388037	3.67E-13	1.91E-10
ENSG00000106211	931.7282086	0.657110148	0.090782586	7.238284096	4.54E-13	2.28E-10
ENSG00000136110	902.7567084	-0.805992137	0.111866433	-7.204950689	5.81E-13	2.81E-10
ENSG00000154822	251.0411989	-1.050437818	0.147464316	-7.123335623	1.05E-12	4.81E-10
ENSG00000223756	918.4906372	-0.584379657	0.082054557	-7.121842784	1.06E-12	4.81E-10
ENSG00000112715	477.9992375	0.794826549	0.112615825	7.057858426	1.69E-12	7.40E-10
ENSG00000092345	92.1136017	-1.126756019	0.161869131	-6.960907323	3.38E-12	1.39E-09
ENSG00000111669	9157.009516	0.529260604	0.076011888	6.962866206	3.33E-12	1.39E-09
ENSG00000111052	173.8298376	-0.936190393	0.134868377	-6.941511548	3.88E-12	1.55E-09
ENSG00000185088	850.9493606	0.606694702	0.089387342	6.787255177	1.14E-11	4.43E-09
ENSG00000173698	235.0908818	-0.961052881	0.142065942	-6.764836587	1.33E-11	5.03E-09
ENSG00000171246	172.3131572	-0.995738158	0.149177902	-6.674836837	2.48E-11	9.07E-09
ENSG00000100033	166.0901467	-0.96557414	0.14501898	-6.658260454	2.77E-11	9.89E-09
ENSG00000041982	170.6965879	-0.941397439	0.1418125	-6.638324814	3.17E-11	1.10E-08
ENSG00000176485	369.1464012	-0.747966682	0.113171339	-6.609152904	3.87E-11	1.31E-08
ENSG00000074800	28965.19076	0.46126829	0.069985341	6.590927268	4.37E-11	1.45E-08
ENSG00000196159	83.08885926	-1.070492374	0.162790694	-6.575881876	4.84E-11	1.56E-08
ENSG00000169189	287.7453698	0.73700118	0.112834916	6.531676578	6.50E-11	2.05E-08
ENSG00000206538	222.8814091	-0.841766727	0.130255309	-6.462436983	1.03E-10	3.18E-08
ENSG00000148680	203.1573282	-0.840774862	0.130188525	-6.458133416	1.06E-10	3.19E-08
ENSG00000162493	1509.57345	-0.49995149	0.077576718	-6.444607367	1.16E-10	3.42E-08
ENSG00000059804	4494.284862	0.589527596	0.092052959	6.404222139	1.51E-10	4.36E-08
ENSG00000070669	2523.847135	0.555206758	0.086795787	6.396701671	1.59E-10	4.49E-08
ENSG00000069482	508.3395804	-0.770511853	0.120776103	-6.379671405	1.77E-10	4.81E-08
ENSG00000124092	29.51652734	1.086984427	0.170323057	6.381898282	1.75E-10	4.81E-08
ENSG00000197181	331.1048177	0.740120839	0.117484858	6.299712572	2.98E-10	7.93E-08
ENSG00000120875	297.1369542	0.728560584	0.116425346	6.257748932	3.91E-10	1.02E-07
ENSG00000251095	92.10523998	1.021889405	0.163512357	6.249615789	4.11E-10	1.05E-07
ENSG00000141655	155.5892669	-0.8774986	0.140879851	-6.228701935	4.70E-10	1.18E-07
ENSG00000172379	275.1712379	-0.728985063	0.117138746	-6.223261633	4.87E-10	1.20E-07
ENSG00000181458	203.5606341	0.864282314	0.139533397	6.194089269	5.86E-10	1.42E-07
ENSG00000135269	467.1579882	0.684837951	0.110669704	6.1881249	6.09E-10	1.45E-07
ENSG00000118971	1135.582194	0.544264417	0.08824999	6.167302909	6.95E-10	1.62E-07
ENSG00000086475	10407.42818	0.419185458	0.068220887	6.144532501	8.02E-10	1.81E-07
ENSG00000172123	289.7236832	0.834805219	0.135827357	6.146075684	7.94E-10	1.81E-07
ENSG00000139174	102.2648308	-0.985201336	0.160691265	-6.131019848	8.73E-10	1.94E-07
ENSG00000156966	673.5023579	-0.592048268	0.09661826	-6.127705727	8.92E-10	1.95E-07
ENSG00000226415	1064.128587	0.530797972	0.086811309	6.114387354	9.69E-10	2.09E-07
ENSG00000075618	3015.782793	0.532642169	0.089289991	5.96530654	2.44E-09	5.17E-07
ENSG00000125354	383.1173485	-0.705161001	0.118317819	-5.959888447	2.52E-09	5.27E-07
ENSG00000060982	6500.296938	0.455621287	0.076551048	5.951862157	2.65E-09	5.45E-07
ENSG00000129474	646.8843922	0.59156674	0.100453403	5.888966629	3.89E-09	7.87E-07
ENSG00000113161	4180.658032	0.377012519	0.064216236	5.870984408	4.33E-09	8.64E-07
