1.GeneID	2.Base mean	3.log2(FC)	4.StdErr	5.Wald-Stats	6.P-value	7.P-adj
ENSG00000134333	12295.39378	1.420706555	0.118578871	11.98111044	4.46E-33	5.96E-29
ENSG00000117394	4908.260238	1.384219412	0.118747269	11.6568526	2.12E-31	1.41E-27
ENSG00000253507	240.5497446	-1.712661453	0.166296269	-10.29885674	7.13E-25	3.17E-21
ENSG00000102317	1221.078352	-1.172712824	0.116855851	-10.03555078	1.06E-23	3.55E-20
ENSG00000122884	789.4375194	1.350597681	0.140880116	9.586858087	9.08E-22	2.42E-18
ENSG00000168209	291.5458381	1.497238553	0.160060685	9.354193068	8.42E-21	1.87E-17
ENSG00000248329	668.3648249	-1.241751138	0.13537419	-9.172731834	4.61E-20	8.79E-17
ENSG00000128052	1007.63109	-1.101059872	0.121229323	-9.082455028	1.06E-19	1.77E-16
ENSG00000152256	434.177734	1.334984313	0.149602896	8.923519192	4.52E-19	6.70E-16
ENSG00000102144	8789.913155	1.113306317	0.125309703	8.884438245	6.42E-19	8.57E-16
ENSG00000067225	15143.85704	0.967191033	0.110969224	8.715849289	2.89E-18	3.50E-15
ENSG00000115548	772.315734	1.235847086	0.142605583	8.666190041	4.47E-18	4.97E-15
ENSG00000170542	455.7478197	-1.182773422	0.138546433	-8.53701821	1.38E-17	1.41E-14
ENSG00000163735	310.2300843	-1.307304266	0.154557483	-8.458369303	2.71E-17	2.58E-14
ENSG00000214110	771.3112168	1.243991571	0.149721784	8.308687868	9.68E-17	8.61E-14
ENSG00000159399	2046.7079	0.913636024	0.113494715	8.050031425	8.28E-16	6.90E-13
ENSG00000197358	116.1092017	1.486035122	0.184893244	8.037260275	9.19E-16	7.21E-13
ENSG00000148926	554.6790342	1.084768972	0.135260825	8.019831086	1.06E-15	7.85E-13
ENSG00000136160	532.5027691	1.194761005	0.152987991	7.809508426	5.74E-15	4.03E-12
ENSG00000075618	2683.268756	0.819031519	0.109575868	7.474561052	7.75E-14	5.17E-11
ENSG00000113739	1381.28857	0.815328966	0.110725794	7.36349626	1.79E-13	1.14E-10
ENSG00000234787	113.0077781	-1.287831127	0.18362216	-7.01348426	2.32E-12	1.41E-09
ENSG00000128610	154.2481776	-1.259812446	0.182915054	-6.887418075	5.68E-12	3.30E-09
ENSG00000171246	194.8735625	-1.187397666	0.179542057	-6.613479232	3.75E-11	2.09E-08
ENSG00000177181	249.4742143	1.079212453	0.164206925	6.57227125	4.96E-11	2.64E-08
ENSG00000114268	262.140679	1.128155355	0.173247741	6.511804143	7.43E-11	3.78E-08
ENSG00000149925	10764.91279	0.777336239	0.119454422	6.507387708	7.65E-11	3.78E-08
ENSG00000018625	862.8479776	-0.792105988	0.124528377	-6.360847253	2.01E-10	9.56E-08
ENSG00000008311	4042.320705	-0.616414815	0.097590213	-6.316358938	2.68E-10	1.23E-07
ENSG00000230316	95.5553883	-1.151049916	0.184726336	-6.23110888	4.63E-10	2.06E-07
ENSG00000170525	708.6262614	0.910448105	0.146801794	6.201886777	5.58E-10	2.40E-07
ENSG00000154822	255.4773059	-0.977192507	0.159949175	-6.109393859	1.00E-09	4.17E-07
ENSG00000206538	248.9467085	-0.961697967	0.157920837	-6.089747164	1.13E-09	4.57E-07
ENSG00000265992	9009.499202	0.61441692	0.101021018	6.082070162	1.19E-09	4.66E-07
ENSG00000181458	182.5697623	1.032539484	0.170029746	6.072699082	1.26E-09	4.80E-07
ENSG00000092345	91.69019889	-1.115117647	0.184657311	-6.038849172	1.55E-09	5.75E-07
ENSG00000110092	1393.771601	0.66904167	0.110942566	6.030522783	1.63E-09	5.89E-07
ENSG00000086475	9628.041883	0.564642038	0.095008118	5.943092526	2.80E-09	9.82E-07
ENSG00000100033	158.4107307	-0.983014047	0.171548527	-5.730238938	1.00E-08	3.43E-06
ENSG00000148400	1080.166656	0.738242188	0.129632611	5.694880174	1.23E-08	4.12E-06
ENSG00000139318	2314.531411	0.598247992	0.105676482	5.661127062	1.50E-08	4.89E-06
ENSG00000176171	618.6102414	1.005460139	0.178763338	5.624532128	1.86E-08	5.91E-06
ENSG00000127663	551.8561047	0.816494656	0.146019264	5.591691365	2.25E-08	6.98E-06
ENSG00000132297	57.59234486	-1.012175508	0.184061869	-5.499104818	3.82E-08	1.16E-05
ENSG00000115758	1956.721339	0.601079532	0.109683269	5.480138743	4.25E-08	1.25E-05
ENSG00000069482	415.5045764	-0.802121768	0.146434419	-5.477685992	4.31E-08	1.25E-05
ENSG00000050820	1002.99377	0.720950705	0.132541492	5.439434068	5.35E-08	1.52E-05
ENSG00000106211	876.188923	0.647860658	0.119636441	5.415245145	6.12E-08	1.67E-05
ENSG00000127399	186.6988991	0.91230615	0.168368937	5.418494452	6.01E-08	1.67E-05
ENSG00000105655	942.6328451	0.661425231	0.122394503	5.40404359	6.52E-08	1.74E-05
ENSG00000179750	84.54536955	-0.991524462	0.184189059	-5.383188697	7.32E-08	1.91E-05
ENSG00000104765	805.1595744	0.687392519	0.13324494	5.158863962	2.48E-07	6.38E-05
ENSG00000139364	1380.250638	0.587567525	0.114984016	5.109993059	3.22E-07	8.11E-05
ENSG00000156049	82.1953009	-0.942377638	0.18500453	-5.09380845	3.51E-07	8.67E-05
ENSG00000149257	5877.014501	0.503392349	0.099302196	5.069297275	3.99E-07	9.69E-05
ENSG00000026025	1091.701392	-0.627073698	0.124559222	-5.034341817	4.79E-07	0.000114256
ENSG00000141959	1044.033526	0.632523587	0.12657878	4.997074448	5.82E-07	0.000136265
ENSG00000129116	426.6394207	-0.734344497	0.147322046	-4.984620553	6.21E-07	0.000142835
ENSG00000114023	729.3664755	0.714190539	0.144603343	4.938962862	7.85E-07	0.000177632
ENSG00000117000	569.639919	0.646933965	0.131377034	4.924254612	8.47E-07	0.000188334
ENSG00000177732	934.8565093	0.595083535	0.120980445	4.918840675	8.71E-07	0.000190444
ENSG00000105894	489.5122215	-0.719956096	0.146871851	-4.901933844	9.49E-07	0.000204245
ENSG00000072682	114.8710367	0.886948716	0.181596672	4.884168328	1.04E-06	0.000216561
ENSG00000187193	126.4575859	0.899423045	0.184095807	4.885624816	1.03E-06	0.000216561
ENSG00000109107	573.258284	0.687905329	0.141254952	4.869955476	1.12E-06	0.000229154
ENSG00000115457	4093.076827	0.874247362	0.179770993	4.863116942	1.16E-06	0.000230137
ENSG00000198576	207.2253767	0.799639567	0.164421167	4.863361445	1.15E-06	0.000230137
ENSG00000176485	359.9068075	-0.765073498	0.157667786	-4.852440181	1.22E-06	0.000239312
ENSG00000103044	1220.759609	0.555527	0.114686927	4.843856355	1.27E-06	0.00024627
ENSG00000165804	496.5155966	0.664089165	0.137248962	4.838573319	1.31E-06	0.000249293
ENSG00000166710	474.573583	-0.710899906	0.147546429	-4.81814375	1.45E-06	0.00027233
ENSG00000180900	856.2728297	0.576334669	0.119967986	4.804070555	1.55E-06	0.000288141
ENSG00000169710	9770.541809	0.540905438	0.112932627	4.789629459	1.67E-06	0.000305431
ENSG00000185668	198.7973788	0.794052673	0.166545949	4.767769346	1.86E-06	0.000334178
ENSG00000105220	3555.166721	0.53304815	0.111841548	4.766101332	1.88E-06	0.000334178
ENSG00000133107	343.7383847	-0.743926567	0.157566579	-4.721347441	2.34E-06	0.000411359
ENSG00000111052	190.5511715	-0.788795451	0.167545057	-4.707960138	2.50E-06	0.000433607
ENSG00000109736	718.9111399	0.601895162	0.128185705	4.695493631	2.66E-06	0.000455002
ENSG00000170017	634.5440209	-0.613653593	0.130963124	-4.685697585	2.79E-06	0.000471276
ENSG00000170949	348.4572031	0.683671949	0.146277863	4.673789555	2.96E-06	0.000493215
ENSG00000135766	220.4809868	0.792709183	0.170590457	4.646855378	3.37E-06	0.00054846
ENSG00000059804	4078.131032	0.476817355	0.102604822	4.647124243	3.37E-06	0.00054846
