GeneID,log2(FC)M2,P-valueM2,P-adjM2,log2(FC)M4,P-valueM4,P-adjM4
ENSG00000231962,NA,NA,NA,NA,NA,NA
ENSG00000231963,NA,NA,NA,NA,NA,NA
ENSG00000231964,NA,NA,NA,0.000597533,0.986422881,NA
ENSG00000231965,NA,NA,NA,NA,NA,NA
ENSG00000231966,-0.065156377,0.343532411,NA,0.028716949,0.536527402,NA
ENSG00000231967,NA,NA,NA,0.007156764,0.802934389,NA
ENSG00000231968,NA,NA,NA,NA,NA,NA
ENSG00000231969,0.000237092,0.996363141,NA,0.018068293,0.746542988,NA
ENSG00000231970,0.046263284,0.425371024,NA,0.007156764,0.802934389,NA
ENSG00000231971,NA,NA,NA,-0.006362426,0.824428122,NA
ENSG00000231973,NA,NA,NA,NA,NA,NA
ENSG00000231974,NA,NA,NA,NA,NA,NA
ENSG00000231975,NA,NA,NA,NA,NA,NA
ENSG00000231976,0.001160417,0.981820259,NA,0.038206692,0.332304812,NA
ENSG00000231977,NA,NA,NA,-0.056268006,0.234545456,NA
ENSG00000231978,NA,NA,NA,NA,NA,NA
ENSG00000231979,NA,NA,NA,NA,NA,NA
ENSG00000231980,NA,NA,NA,NA,NA,NA
ENSG00000231981,NA,NA,NA,NA,NA,NA
ENSG00000231982,-0.041960089,0.802124512,NA,-0.033825383,0.73964709,NA
ENSG00000231983,NA,NA,NA,NA,NA,NA
ENSG00000231984,NA,NA,NA,NA,NA,NA
ENSG00000231985,NA,NA,NA,NA,NA,NA
ENSG00000231986,NA,NA,NA,NA,NA,NA
ENSG00000231987,NA,NA,NA,NA,NA,NA
ENSG00000231988,NA,NA,NA,NA,NA,NA
ENSG00000231989,0.281194777,0.219227298,0.607644482,-0.205970671,0.220826758,0.554705031
ENSG00000231990,0.070703676,0.320805981,NA,0.056305971,0.392683588,NA
ENSG00000231991,-0.088934901,0.641140387,0.880933206,-0.364019399,0.000765176,0.015511681
ENSG00000231992,NA,NA,NA,NA,NA,NA
ENSG00000231993,-0.029308115,0.663687387,NA,-0.079684316,0.370263773,NA
ENSG00000231995,NA,NA,NA,NA,NA,NA
ENSG00000231996,NA,NA,NA,NA,NA,NA
ENSG00000231997,0.012946606,0.763648132,NA,NA,NA,NA
ENSG00000231998,NA,NA,NA,NA,NA,NA
ENSG00000231999,0.074080754,0.404216112,NA,-0.028587831,0.543042262,NA
ENSG00000232000,0.078861851,0.549487346,NA,-0.000282559,0.997301216,NA
ENSG00000232001,NA,NA,NA,0.007156764,0.802934389,NA
ENSG00000232002,NA,NA,NA,NA,NA,NA
ENSG00000232003,NA,NA,NA,NA,NA,NA
ENSG00000232004,0.054587106,0.767856433,NA,0.057903014,0.685716647,NA
ENSG00000232005,NA,NA,NA,NA,NA,NA
ENSG00000232006,-0.011911674,0.782043764,NA,0.014380668,0.789375807,NA
ENSG00000232007,NA,NA,NA,NA,NA,NA
ENSG00000232009,NA,NA,NA,NA,NA,NA
ENSG00000232010,NA,NA,NA,NA,NA,NA
ENSG00000232011,NA,NA,NA,NA,NA,NA
ENSG00000232013,0.001140052,0.981966119,NA,0.03717474,0.341350147,NA
ENSG00000232014,NA,NA,NA,NA,NA,NA
ENSG00000232015,NA,NA,NA,NA,NA,NA
ENSG00000232017,NA,NA,NA,NA,NA,NA
ENSG00000232018,-0.025671458,0.787089445,NA,-0.034754789,0.367527277,NA
ENSG00000232019,-0.098320697,0.589085329,NA,-0.110977692,0.340976825,NA
ENSG00000232021,NA,NA,NA,NA,NA,NA
ENSG00000232022,0.053611107,0.66922968,NA,-0.084729733,0.433701624,NA
ENSG00000232023,0.019673767,0.765516946,NA,-0.006362426,0.824428122,NA
